scenario,source_2025_xml,sector,subsector,technology,energy_input,efficiency_2025,long_run_platform,half_life_years,efficiency_2030,efficiency_2035,efficiency_2040,efficiency_2045,efficiency_2050,efficiency_2055,efficiency_2060,efficiency_2065,efficiency_2070,efficiency_2075,efficiency_2080,efficiency_2085,efficiency_2090,efficiency_2095,efficiency_2100
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,biomass,wood furnace,delivered biomass,0.6915,0.75,25,0.6991,0.7057,0.7114,0.7164,0.7208,0.7245,0.7278,0.7307,0.7332,0.7354,0.7373,0.7389,0.7404,0.7416,0.7427
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,coal,coal furnace,delivered coal,0.6915,0.75,25,0.6991,0.7057,0.7114,0.7164,0.7208,0.7245,0.7278,0.7307,0.7332,0.7354,0.7373,0.7389,0.7404,0.7416,0.7427
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,gas,gas furnace,delivered gas,0.7778,0.86,25,0.7884,0.7977,0.8058,0.8128,0.8189,0.8242,0.8289,0.8329,0.8364,0.8395,0.8421,0.8444,0.8464,0.8482,0.8497
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,gas,gas furnace hi-eff,delivered gas,1.5,1.58,25,1.5104,1.5194,1.5272,1.5341,1.54,1.5452,1.5497,1.5536,1.557,1.56,1.5626,1.5648,1.5668,1.5685,1.57
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,electricity,electric furnace,elect_td_bld,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,electricity,electric heat pump,elect_td_bld,1.7647,3.2,18,2.0161,2.2234,2.3945,2.5355,2.6519,2.7479,2.8271,2.8924,2.9463,2.9907,3.0274,3.0576,3.0825,3.1031,3.1201
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,refined liquids,fuel furnace,refined liquids enduse,0.814,0.88,25,0.8225,0.83,0.8365,0.8421,0.847,0.8513,0.855,0.8582,0.861,0.8635,0.8656,0.8675,0.8691,0.8705,0.8718
conservative,HK_bld_tech_eff_2025_conservative.xml,comm heating,heat,district heat,district heat,0.9,0.9,fixed,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
conservative,HK_bld_tech_eff_2025_conservative.xml,comm cooling,electricity,air conditioning,elect_td_bld,3,4.2,20,3.1909,3.3515,3.4865,3.6,3.6955,3.7757,3.8432,3.9,3.9477,3.9879,4.0216,4.05,4.0739,4.0939,4.1108
conservative,HK_bld_tech_eff_2025_conservative.xml,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,4.6512,5.8,20,4.834,4.9877,5.1169,5.2256,5.317,5.3938,5.4585,5.5128,5.5585,5.5969,5.6292,5.6564,5.6792,5.6985,5.7146
conservative,HK_bld_tech_eff_2025_conservative.xml,comm hot water_cooking,gas,gas water heater,delivered gas,0.7778,0.88,25,0.791,0.8025,0.8126,0.8213,0.8289,0.8355,0.8413,0.8463,0.8507,0.8545,0.8578,0.8606,0.8631,0.8653,0.8672
conservative,HK_bld_tech_eff_2025_conservative.xml,comm hot water_cooking,gas,gas water heater hi-eff,delivered gas,1.5,1.58,25,1.5104,1.5194,1.5272,1.5341,1.54,1.5452,1.5497,1.5536,1.557,1.56,1.5626,1.5648,1.5668,1.5685,1.57
conservative,HK_bld_tech_eff_2025_conservative.xml,comm hot water_cooking,electricity,electric resistance water heater,elect_td_bld,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,comm hot water_cooking,refined liquids,fuel water heater,refined liquids enduse,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,comm hot water_cooking,coal,coal water heater,delivered coal,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,comm lighting,electricity,elec light,elect_td_bld,0.028,0.034,15,0.0292,0.0302,0.031,0.0316,0.0321,0.0325,0.0328,0.0331,0.0333,0.0334,0.0335,0.0336,0.0337,0.0338,0.0338
conservative,HK_bld_tech_eff_2025_conservative.xml,comm lighting,electricity,fluorescent,elect_td_bld,0.0482,0.055,15,0.0496,0.0507,0.0516,0.0523,0.0529,0.0533,0.0537,0.0539,0.0542,0.0543,0.0545,0.0546,0.0547,0.0547,0.0548
conservative,HK_bld_tech_eff_2025_conservative.xml,comm appliances,electricity,electric appliances,elect_td_bld,1.1364,1.4,25,1.1705,1.2002,1.2261,1.2486,1.2682,1.2853,1.3001,1.313,1.3243,1.3341,1.3426,1.3501,1.3565,1.3622,1.367
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,coal,coal furnace,delivered coal,0.4255,0.52,25,0.4377,0.4484,0.4577,0.4657,0.4728,0.4789,0.4842,0.4888,0.4929,0.4964,0.4994,0.5021,0.5044,0.5064,0.5082
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,biomass,wood furnace,delivered biomass,0.4255,0.52,25,0.4377,0.4484,0.4577,0.4657,0.4728,0.4789,0.4842,0.4888,0.4929,0.4964,0.4994,0.5021,0.5044,0.5064,0.5082
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,gas,gas furnace,delivered gas,0.8125,0.88,25,0.8212,0.8288,0.8355,0.8412,0.8462,0.8506,0.8544,0.8577,0.8606,0.8631,0.8653,0.8672,0.8689,0.8703,0.8716
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,gas,gas furnace hi-eff,delivered gas,0.875,0.92,25,0.8808,0.8859,0.8903,0.8942,0.8975,0.9004,0.9029,0.9052,0.9071,0.9088,0.9102,0.9115,0.9126,0.9135,0.9144
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,electricity,electric furnace,elect_td_bld,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,refined liquids,fuel furnace,refined liquids enduse,0.8125,0.88,25,0.8212,0.8288,0.8355,0.8412,0.8462,0.8506,0.8544,0.8577,0.8606,0.8631,0.8653,0.8672,0.8689,0.8703,0.8716
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.875,0.92,25,0.8808,0.8859,0.8903,0.8942,0.8975,0.9004,0.9029,0.9052,0.9071,0.9088,0.9102,0.9115,0.9126,0.9135,0.9144
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban heating modern_d1,heat,district heat,district heat,0.9,0.9,fixed,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban cooling modern_d1,electricity,air conditioning,elect_td_bld,3.516,4.8,20,3.7203,3.8921,4.0365,4.158,4.2601,4.346,4.4183,4.479,4.5301,4.573,4.6091,4.6395,4.665,4.6865,4.7046
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban cooling modern_d1,electricity,air conditioning hi-eff,elect_td_bld,4.0244,5.5,20,4.2592,4.4566,4.6226,4.7622,4.8796,4.9783,5.0613,5.1311,5.1898,5.2391,5.2807,5.3155,5.3449,5.3696,5.3903
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,gas,gas water heater,delivered gas,0.5652,0.7,25,0.5826,0.5978,0.6111,0.6226,0.6326,0.6413,0.6489,0.6555,0.6613,0.6663,0.6707,0.6745,0.6778,0.6806,0.6831
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,gas,gas water heater hi-eff,delivered gas,0.8542,0.9,25,0.8601,0.8653,0.8698,0.8737,0.8771,0.8801,0.8826,0.8849,0.8868,0.8885,0.89,0.8913,0.8924,0.8934,0.8943
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,electricity,electric resistance water heater,elect_td_bld,0.9,0.96,15,0.9124,0.9222,0.93,0.9362,0.9411,0.945,0.9481,0.9506,0.9525,0.954,0.9553,0.9562,0.957,0.9576,0.9581
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,electricity,electric resistance water heater hi-eff,elect_td_bld,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,refined liquids,fuel water heater,refined liquids enduse,0.5652,0.7,25,0.5826,0.5978,0.6111,0.6226,0.6326,0.6413,0.6489,0.6555,0.6613,0.6663,0.6707,0.6745,0.6778,0.6806,0.6831
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.8542,0.9,25,0.8601,0.8653,0.8698,0.8737,0.8771,0.8801,0.8826,0.8849,0.8868,0.8885,0.89,0.8913,0.8924,0.8934,0.8943
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban hot water_cooking modern_d1,coal,coal water heater,delivered coal,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban lighting modern_d1,electricity,elec light,elect_td_bld,0.4167,0.48,15,0.4298,0.4401,0.4484,0.4549,0.4601,0.4642,0.4674,0.47,0.4721,0.4737,0.475,0.476,0.4769,0.4775,0.478
conservative,HK_bld_tech_eff_2025_conservative.xml,resid_urban appliances modern_d1,electricity,electric appliances,elect_td_bld,1.1364,1.4,25,1.1705,1.2002,1.2261,1.2486,1.2682,1.2853,1.3001,1.313,1.3243,1.3341,1.3426,1.3501,1.3565,1.3622,1.367
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,biomass,wood furnace,delivered biomass,0.7386,0.82,20,0.7516,0.7624,0.7716,0.7793,0.7858,0.7912,0.7958,0.7996,0.8029,0.8056,0.8079,0.8098,0.8114,0.8128,0.8139
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,coal,coal furnace,delivered coal,0.7386,0.82,20,0.7516,0.7624,0.7716,0.7793,0.7858,0.7912,0.7958,0.7996,0.8029,0.8056,0.8079,0.8098,0.8114,0.8128,0.8139
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,gas,gas furnace,delivered gas,0.8235,0.92,20,0.8389,0.8518,0.8626,0.8718,0.8794,0.8859,0.8913,0.8959,0.8997,0.9029,0.9057,0.9079,0.9099,0.9115,0.9128
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,gas,gas furnace hi-eff,delivered gas,1.5789,1.75,20,1.6061,1.629,1.6483,1.6644,1.6781,1.6895,1.6991,1.7072,1.714,1.7198,1.7246,1.7286,1.732,1.7349,1.7373
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,electricity,electric furnace,elect_td_bld,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,electricity,electric heat pump,elect_td_bld,2,4,15,2.4126,2.7401,3,3.2063,3.37,3.5,3.6031,3.685,3.75,3.8016,3.8425,3.875,3.9008,3.9213,3.9375
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,refined liquids,fuel furnace,refined liquids enduse,0.8235,0.93,20,0.8404,0.8547,0.8667,0.8768,0.8852,0.8923,0.8983,0.9034,0.9076,0.9112,0.9142,0.9167,0.9188,0.9206,0.9221
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm heating,heat,district heat,district heat,0.9,0.9,fixed,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm cooling,electricity,air conditioning,elect_td_bld,3.3333,5,15,3.6771,3.95,4.1666,4.3386,4.475,4.5833,4.6693,4.7375,4.7917,4.8346,4.8688,4.8958,4.9173,4.9344,4.9479
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,5,6.8,15,5.3713,5.6661,5.9,6.0857,6.233,6.35,6.4428,6.5165,6.575,6.6214,6.6583,6.6875,6.7107,6.7291,6.7438
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm hot water_cooking,gas,gas water heater,delivered gas,0.8537,0.94,20,0.8674,0.879,0.8887,0.8968,0.9037,0.9095,0.9143,0.9184,0.9219,0.9247,0.9272,0.9292,0.9309,0.9324,0.9336
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm hot water_cooking,gas,gas water heater hi-eff,delivered gas,1.5789,1.75,20,1.6061,1.629,1.6483,1.6644,1.6781,1.6895,1.6991,1.7072,1.714,1.7198,1.7246,1.7286,1.732,1.7349,1.7373
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm hot water_cooking,electricity,electric resistance water heater,elect_td_bld,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm hot water_cooking,refined liquids,fuel water heater,refined liquids enduse,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm hot water_cooking,coal,coal water heater,delivered coal,1,1,fixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm lighting,electricity,elec light,elect_td_bld,0.0323,0.043,12,0.035,0.037,0.0385,0.0396,0.0405,0.0411,0.0416,0.0419,0.0422,0.0424,0.0426,0.0427,0.0427,0.0428,0.0429
central,HK_bld_tech_eff_2025_policy_calibrated.xml,comm lighting,electricity,fluorescent,elect_td_bld,0.0547,0.07,12,0.0585,0.0614,0.0636,0.0652,0.0664,0.0673,0.068,0.0685,0.0689,0.0691,0.0694,0.0695,0.0696,0.0697,0.0698
